"hash","LR","pred_multi100"
"876aaf0b4d60d23eaf504b115d578f0d",3,0.520332
"876aaf0b4d60d23eaf504b115d578f0d",3.5,0.518046
"876aaf0b4d60d23eaf504b115d578f0d",4,0.518321
"876aaf0b4d60d23eaf504b115d578f0d",4.5,0.521157
"876aaf0b4d60d23eaf504b115d578f0d",5,0.526549
"876aaf0b4d60d23eaf504b115d578f0d",5.5,0.53449
"876aaf0b4d60d23eaf504b115d578f0d",6,0.544959
"876aaf0b4d60d23eaf504b115d578f0d",6.5,0.557921
"876aaf0b4d60d23eaf504b115d578f0d",7,0.573319
"876aaf0b4d60d23eaf504b115d578f0d",7.5,0.591061
"876aaf0b4d60d23eaf504b115d578f0d",8,0.611016
"876aaf0b4d60d23eaf504b115d578f0d",8.5,0.633
"876aaf0b4d60d23eaf504b115d578f0d",9,0.656772
"876aaf0b4d60d23eaf504b115d578f0d",9.5,0.682027
"876aaf0b4d60d23eaf504b115d578f0d",10,0.708398
"d5bc053a3912157ac02ff832fae0cda9",0,0.461401
"d5bc053a3912157ac02ff832fae0cda9",0.5,0.446173
"d5bc053a3912157ac02ff832fae0cda9",1,0.434658
"d5bc053a3912157ac02ff832fae0cda9",1.5,0.426808
"d5bc053a3912157ac02ff832fae0cda9",2,0.422581
"d5bc053a3912157ac02ff832fae0cda9",2.5,0.421951
"d5bc053a3912157ac02ff832fae0cda9",3,0.424913
"d5bc053a3912157ac02ff832fae0cda9",3.5,0.431486
"d5bc053a3912157ac02ff832fae0cda9",4,0.441709
"d5bc053a3912157ac02ff832fae0cda9",4.5,0.455628
"d5bc053a3912157ac02ff832fae0cda9",5,0.473283
"d5bc053a3912157ac02ff832fae0cda9",5.5,0.494686
"d5bc053a3912157ac02ff832fae0cda9",6,0.519787
"d5bc053a3912157ac02ff832fae0cda9",6.5,0.548448
"d5bc053a3912157ac02ff832fae0cda9",7,0.580404
"d5bc053a3912157ac02ff832fae0cda9",7.5,0.615226
"d5bc053a3912157ac02ff832fae0cda9",8,0.652308
"d5bc053a3912157ac02ff832fae0cda9",8.5,0.690859
"d5bc053a3912157ac02ff832fae0cda9",9,0.72993
"d5bc053a3912157ac02ff832fae0cda9",9.5,0.768476
"d5bc053a3912157ac02ff832fae0cda9",10,0.80544
"3e356a9a91fa5785575b7f02e247df89",0,0.488219
"3e356a9a91fa5785575b7f02e247df89",0.5,0.402363
"3e356a9a91fa5785575b7f02e247df89",1,0.329241
"3e356a9a91fa5785575b7f02e247df89",1.5,0.269945
"3e356a9a91fa5785575b7f02e247df89",2,0.223686
"3e356a9a91fa5785575b7f02e247df89",2.5,0.188734
"3e356a9a91fa5785575b7f02e247df89",3,0.163133
"3e356a9a91fa5785575b7f02e247df89",3.5,0.145115
"3e356a9a91fa5785575b7f02e247df89",4,0.133292
"3e356a9a91fa5785575b7f02e247df89",4.5,0.126695
"3e356a9a91fa5785575b7f02e247df89",5,0.124769
"3e356a9a91fa5785575b7f02e247df89",5.5,0.127351
"3e356a9a91fa5785575b7f02e247df89",6,0.134661
"3e356a9a91fa5785575b7f02e247df89",6.5,0.147311
"3e356a9a91fa5785575b7f02e247df89",7,0.16633
"3e356a9a91fa5785575b7f02e247df89",7.5,0.193168
"3e356a9a91fa5785575b7f02e247df89",8,0.229634
"3e356a9a91fa5785575b7f02e247df89",8.5,0.277686
"3e356a9a91fa5785575b7f02e247df89",9,0.338968
"3e356a9a91fa5785575b7f02e247df89",9.5,0.414056
"3e356a9a91fa5785575b7f02e247df89",10,0.501511
"f3446562dba5c9f715ff49dcc9933d9b",0,0.650491
"f3446562dba5c9f715ff49dcc9933d9b",0.5,0.540499
"f3446562dba5c9f715ff49dcc9933d9b",1,0.441973
"f3446562dba5c9f715ff49dcc9933d9b",1.5,0.361394
"f3446562dba5c9f715ff49dcc9933d9b",2,0.300172
"f3446562dba5c9f715ff49dcc9933d9b",2.5,0.256831
"f3446562dba5c9f715ff49dcc9933d9b",3,0.228962
"f3446562dba5c9f715ff49dcc9933d9b",3.5,0.214418
"f3446562dba5c9f715ff49dcc9933d9b",4,0.211896
"f3446562dba5c9f715ff49dcc9933d9b",4.5,0.221156
"f3446562dba5c9f715ff49dcc9933d9b",5,0.243058
"f3446562dba5c9f715ff49dcc9933d9b",5.5,0.279429
"f3446562dba5c9f715ff49dcc9933d9b",6,0.332669
"f3446562dba5c9f715ff49dcc9933d9b",6.5,0.404854
"f3446562dba5c9f715ff49dcc9933d9b",7,0.496096
"f3446562dba5c9f715ff49dcc9933d9b",7.5,0.602325
"f3446562dba5c9f715ff49dcc9933d9b",8,0.713707
"f3446562dba5c9f715ff49dcc9933d9b",8.5,0.816086
"f3446562dba5c9f715ff49dcc9933d9b",9,0.896568
"f3446562dba5c9f715ff49dcc9933d9b",9.5,0.949748
"f3446562dba5c9f715ff49dcc9933d9b",10,0.979131
"383301a49ad02f9897226760ad53e414",0,0.146171
"383301a49ad02f9897226760ad53e414",0.5,0.201962
"383301a49ad02f9897226760ad53e414",1,0.261728
"383301a49ad02f9897226760ad53e414",1.5,0.320387
"383301a49ad02f9897226760ad53e414",2,0.373452
"383301a49ad02f9897226760ad53e414",2.5,0.417723
"383301a49ad02f9897226760ad53e414",3,0.451324
"383301a49ad02f9897226760ad53e414",3.5,0.473369
"383301a49ad02f9897226760ad53e414",4,0.483537
"383301a49ad02f9897226760ad53e414",4.5,0.481753
"383301a49ad02f9897226760ad53e414",5,0.468028
"383301a49ad02f9897226760ad53e414",5.5,0.442485
"383301a49ad02f9897226760ad53e414",6,0.405571
"383301a49ad02f9897226760ad53e414",6.5,0.358425
"383301a49ad02f9897226760ad53e414",7,0.303292
"383301a49ad02f9897226760ad53e414",7.5,0.243787
"383301a49ad02f9897226760ad53e414",8,0.184678
"383301a49ad02f9897226760ad53e414",8.5,0.130993
"383301a49ad02f9897226760ad53e414",9,0.086666
"383301a49ad02f9897226760ad53e414",9.5,0.053453
"383301a49ad02f9897226760ad53e414",10,0.030801
"8c18a482fc143c5660b57812bb3a06d2",0,0.171444
"8c18a482fc143c5660b57812bb3a06d2",0.5,0.223609
"8c18a482fc143c5660b57812bb3a06d2",1,0.275029
"8c18a482fc143c5660b57812bb3a06d2",1.5,0.321692
"8c18a482fc143c5660b57812bb3a06d2",2,0.360597
"8c18a482fc143c5660b57812bb3a06d2",2.5,0.389825
"8c18a482fc143c5660b57812bb3a06d2",3,0.408308
"8c18a482fc143c5660b57812bb3a06d2",3.5,0.415546
"8c18a482fc143c5660b57812bb3a06d2",4,0.411379
"8c18a482fc143c5660b57812bb3a06d2",4.5,0.395896
"8c18a482fc143c5660b57812bb3a06d2",5,0.369491
"8c18a482fc143c5660b57812bb3a06d2",5.5,0.333047
"8c18a482fc143c5660b57812bb3a06d2",6,0.288228
"8c18a482fc143c5660b57812bb3a06d2",6.5,0.237733
