"token_normalization","stopword_removal","trimming","alternative_model","k_setting","iteration_setting","Estimate","Q2.5","Q97.5","Estimate.sq","Q2.5","Q97.5"
"stemming",TRUE,FALSE,TRUE,3,2,0.087503,-0.086737,0.261743,-0.009345,-0.027823,0.009133
"none",FALSE,FALSE,TRUE,3,2,0.000204,-0.212479,0.212888,0.003143,-0.016203,0.02249
"lemmatization",FALSE,FALSE,TRUE,3,2,-0.123876,-0.406355,0.158604,0.018144,-0.017631,0.053918
"stemming",FALSE,FALSE,TRUE,3,2,0.165739,-0.047208,0.378686,-0.016631,-0.047476,0.014214
"none",TRUE,TRUE,FALSE,3,2,1.198431,0.364413,2.03245,-0.110354,-0.205051,-0.015658
"lemmatization",TRUE,TRUE,FALSE,3,2,-1.05607,-1.93308,-0.179059,0.173468,0.055779,0.291156
"stemming",TRUE,TRUE,FALSE,3,2,-0.550808,-1.497745,0.39613,0.022116,-0.090024,0.134257
"none",FALSE,TRUE,FALSE,3,2,0.652839,-0.027082,1.33276,-0.123812,-0.19511,-0.052513
"lemmatization",FALSE,TRUE,FALSE,3,2,0.420786,-0.536526,1.378097,-0.107278,-0.212439,-0.002116
"stemming",FALSE,TRUE,FALSE,3,2,-0.625096,-1.699443,0.449251,0.071591,-0.057762,0.200945
"none",TRUE,FALSE,FALSE,3,2,-0.220835,-0.582406,0.140737,0.032855,-0.014809,0.080519
"lemmatization",TRUE,FALSE,FALSE,3,2,0.409402,-0.313563,1.132367,-0.000157,-0.070482,0.070169
"stemming",TRUE,FALSE,FALSE,3,2,-1.304024,-2.392509,-0.215539,0.224033,0.057508,0.390558
"none",FALSE,FALSE,FALSE,3,2,-0.139722,-0.479009,0.199565,0.024933,-0.020559,0.070425
"lemmatization",FALSE,FALSE,FALSE,3,2,-0.593134,-0.882337,-0.303931,0.074279,0.037454,0.111105
"stemming",FALSE,FALSE,FALSE,3,2,-0.809948,-1.732474,0.112578,0.045457,-0.041244,0.132158
"none",TRUE,TRUE,TRUE,1,3,0.369983,0.13612,0.603846,-0.049927,-0.077639,-0.022215
"lemmatization",TRUE,TRUE,TRUE,1,3,0.086763,-0.087999,0.261525,-0.012491,-0.037265,0.012283
"stemming",TRUE,TRUE,TRUE,1,3,-0.287013,-0.589564,0.015538,0.032461,-0.01164,0.076561
"none",FALSE,TRUE,TRUE,1,3,0.053109,-0.105033,0.211251,-0.009928,-0.031897,0.012041
"lemmatization",FALSE,TRUE,TRUE,1,3,-0.062345,-0.354893,0.230203,0.022583,-0.011157,0.056322
"stemming",FALSE,TRUE,TRUE,1,3,-0.320393,-0.724947,0.084162,0.037216,-0.016943,0.091374
"none",TRUE,FALSE,TRUE,1,3,-0.07654,-0.264481,0.111401,0.016599,-0.004128,0.037325
"lemmatization",TRUE,FALSE,TRUE,1,3,-0.007077,-0.203736,0.189581,0.005687,-0.023079,0.034452
"stemming",TRUE,FALSE,TRUE,1,3,0.144891,-0.080059,0.36984,-0.023787,-0.050358,0.002785
"none",FALSE,FALSE,TRUE,1,3,-0.255176,-0.457635,-0.052718,0.02795,0.002248,0.053651
"lemmatization",FALSE,FALSE,TRUE,1,3,-0.284237,-0.444576,-0.123899,0.037659,0.018835,0.056483
"stemming",FALSE,FALSE,TRUE,1,3,0.072656,-0.160999,0.306311,-0.009314,-0.039541,0.020914
"none",TRUE,TRUE,FALSE,1,3,0.997914,0.563948,1.431879,-0.123433,-0.186951,-0.059914
"lemmatization",TRUE,TRUE,FALSE,1,3,-0.977973,-1.558574,-0.397373,0.118155,0.02685,0.209461
"stemming",TRUE,TRUE,FALSE,1,3,-1.318986,-2.139442,-0.49853,0.151412,0.020396,0.282428
"none",FALSE,TRUE,FALSE,1,3,1.144854,0.613971,1.675737,-0.146302,-0.213844,-0.078759
"lemmatization",FALSE,TRUE,FALSE,1,3,1.404343,0.782212,2.026473,-0.18098,-0.273013,-0.088947
"stemming",FALSE,TRUE,FALSE,1,3,-0.7637,-1.159793,-0.367607,0.099736,0.042259,0.157214
"none",TRUE,FALSE,FALSE,1,3,-0.076539,-0.453546,0.300468,0.033009,-0.018437,0.084454
"lemmatization",TRUE,FALSE,FALSE,1,3,-0.230693,-0.710691,0.249306,0.04716,-0.029239,0.12356
"stemming",TRUE,FALSE,FALSE,1,3,-1.50299,-2.292729,-0.713251,0.172786,0.047173,0.298398
"none",FALSE,FALSE,FALSE,1,3,0.052245,-0.192361,0.296851,-0.009528,-0.05135,0.032294
"lemmatization",FALSE,FALSE,FALSE,1,3,-0.37127,-0.612505,-0.130036,0.039668,-0.003988,0.083324
"stemming",FALSE,FALSE,FALSE,1,3,0.807862,0.349423,1.2663,-0.104992,-0.16891,-0.041074
"none",TRUE,TRUE,TRUE,2,3,-0.212044,-0.486501,0.062413,0.014914,-0.020187,0.050014
"lemmatization",TRUE,TRUE,TRUE,2,3,0.040991,-0.208734,0.290717,0.006718,-0.017812,0.031247
"stemming",TRUE,TRUE,TRUE,2,3,-0.34973,-0.738874,0.039415,0.040937,-0.010602,0.092477
"none",FALSE,TRUE,TRUE,2,3,0.08082,-0.30274,0.464379,0.006574,-0.061073,0.074222
"lemmatization",FALSE,TRUE,TRUE,2,3,0.066339,-0.261631,0.39431,0.007235,-0.040357,0.054827
"stemming",FALSE,TRUE,TRUE,2,3,0.170024,-0.112839,0.452887,-0.001869,-0.031189,0.027451
"none",TRUE,FALSE,TRUE,2,3,0.245571,-0.053891,0.545034,-0.017575,-0.048742,0.013591
"lemmatization",TRUE,FALSE,TRUE,2,3,-0.196576,-0.387489,-0.005664,0.026668,-0.000834,0.05417
"stemming",TRUE,FALSE,TRUE,2,3,0.224689,-0.028562,0.47794,-0.025182,-0.061246,0.010882
"none",FALSE,FALSE,TRUE,2,3,-0.272919,-0.508158,-0.037681,0.034719,-0.0038,0.073238
"lemmatization",FALSE,FALSE,TRUE,2,3,-0.169362,-0.348334,0.009611,0.025916,0.000914,0.050919
"stemming",FALSE,FALSE,TRUE,2,3,0.187257,0.023055,0.35146,-0.016638,-0.040316,0.007039
"none",TRUE,TRUE,FALSE,2,3,0.657067,0.105111,1.209023,-0.138173,-0.202833,-0.073512
"lemmatization",TRUE,TRUE,FALSE,2,3,-0.203395,-0.89398,0.487191,-0.035944,-0.125061,0.053173
"stemming",TRUE,TRUE,FALSE,2,3,-0.484065,-1.500235,0.532106,-0.047922,-0.225072,0.129229
"none",FALSE,TRUE,FALSE,2,3,1.043347,0.470107,1.616587,-0.125635,-0.201471,-0.049799
"lemmatization",FALSE,TRUE,FALSE,2,3,1.249036,0.455894,2.042177,-0.205597,-0.308254,-0.10294
"stemming",FALSE,TRUE,FALSE,2,3,-1.055478,-1.736163,-0.374793,0.111706,0.016897,0.206515
"none",TRUE,FALSE,FALSE,2,3,-0.272265,-0.578568,0.034039,0.031071,-0.01086,0.073002
"lemmatization",TRUE,FALSE,FALSE,2,3,-0.328698,-0.653898,-0.003498,0.037254,-0.006561,0.081069
"stemming",TRUE,FALSE,FALSE,2,3,0.907587,0.313976,1.501197,-0.088291,-0.173482,-0.0031
"none",FALSE,FALSE,FALSE,2,3,-0.596213,-1.088125,-0.104301,0.063716,-0.00454,0.131971
"lemmatization",FALSE,FALSE,FALSE,2,3,-0.617259,-0.885375,-0.349143,0.07745,0.037451,0.117449
"stemming",FALSE,FALSE,FALSE,2,3,-0.38103,-1.220615,0.458555,-0.027014,-0.110819,0.05679
"none",TRUE,TRUE,TRUE,3,3,0.022157,-0.27635,0.320665,-0.009809,-0.051635,0.032016
"lemmatization",TRUE,TRUE,TRUE,3,3,-0.127395,-0.466057,0.211268,0.02716,-0.017036,0.071355
"stemming",TRUE,TRUE,TRUE,3,3,-0.284347,-0.602506,0.033812,0.041828,0.002082,0.081575
"none",FALSE,TRUE,TRUE,3,3,0.09546,-0.139011,0.32993,-0.007868,-0.035129,0.019393
"lemmatization",FALSE,TRUE,TRUE,3,3,-0.132947,-0.392126,0.126232,0.035827,-0.00556,0.077213
"stemming",FALSE,TRUE,TRUE,3,3,-0.64566,-0.978146,-0.313175,0.087109,0.04609,0.128128
"none",TRUE,FALSE,TRUE,3,3,-0.197673,-0.40457,0.009225,0.024893,0.004468,0.045318
"lemmatization",TRUE,FALSE,TRUE,3,3,-0.207569,-0.366044,-0.049094,0.029293,0.011509,0.047077
"stemming",TRUE,FALSE,TRUE,3,3,-0.012744,-0.17588,0.150391,-0.006675,-0.024943,0.011593
"none",FALSE,FALSE,TRUE,3,3,-0.095742,-0.224247,0.032763,0.016603,0.000115,0.033091
"lemmatization",FALSE,FALSE,TRUE,3,3,-0.314744,-0.624653,-0.004835,0.034227,-0.009148,0.077602
"stemming",FALSE,FALSE,TRUE,3,3,0.197342,0.000618,0.394065,-0.017137,-0.044547,0.010273
"none",TRUE,TRUE,FALSE,3,3,1.156023,0.332456,1.97959,-0.20477,-0.304404,-0.105136
"lemmatization",TRUE,TRUE,FALSE,3,3,-0.383825,-1.348954,0.581305,0.018779,-0.098494,0.136052
"stemming",TRUE,TRUE,FALSE,3,3,-0.435083,-1.586404,0.716238,0.026327,-0.097842,0.150496
"none",FALSE,TRUE,FALSE,3,3,0.277293,-0.155111,0.709697,-0.032927,-0.08594,0.020086
"lemmatization",FALSE,TRUE,FALSE,3,3,0.71884,-0.103338,1.541018,-0.039574,-0.155244,0.076096
"stemming",FALSE,TRUE,FALSE,3,3,-0.817394,-1.497467,-0.137322,0.079705,0.011793,0.147617
"none",TRUE,FALSE,FALSE,3,3,-1.145535,-1.851779,-0.439292,0.121221,0.037107,0.205336
"lemmatization",TRUE,FALSE,FALSE,3,3,-0.712779,-1.582836,0.157279,0.120116,0.011375,0.228857
"stemming",TRUE,FALSE,FALSE,3,3,-0.921431,-1.689143,-0.153719,0.084204,0.010681,0.157727
"none",FALSE,FALSE,FALSE,3,3,-0.173012,-0.502492,0.156467,0.031641,-0.016788,0.08007
"lemmatization",FALSE,FALSE,FALSE,3,3,0.674445,-0.007199,1.356088,-0.052058,-0.115342,0.011227
"stemming",FALSE,FALSE,FALSE,3,3,-0.219959,-1.277624,0.837705,0.139178,0.000329,0.278027
