"token_normalization","stopword_removal","trimming","alternative_model","k_setting","iteration_setting","Estimate","Q2.5","Q97.5","max_rho"
"stemming",FALSE,TRUE,TRUE,2,3,-0.001152,-0.008675,0.004355,0.129109
"none",TRUE,FALSE,TRUE,2,3,-0.012997,-0.031045,0.000988,0.097593
"lemmatization",TRUE,FALSE,TRUE,2,3,0.021776,-0.030124,0.0759,0.123321
"stemming",TRUE,FALSE,TRUE,2,3,0.039213,-0.01598,0.093729,0.216211
"none",FALSE,FALSE,TRUE,2,3,-0.008421,-0.030663,0.015626,0.11236
"lemmatization",FALSE,FALSE,TRUE,2,3,0.001726,-0.035942,0.037579,0.132596
"stemming",FALSE,FALSE,TRUE,2,3,0.012675,-0.022857,0.041232,0.086761
"none",TRUE,TRUE,FALSE,2,3,0.019931,-0.015759,0.055233,0.246846
"lemmatization",TRUE,TRUE,FALSE,2,3,0.013415,-0.018037,0.04519,0.135619
"stemming",TRUE,TRUE,FALSE,2,3,0.043058,0.005173,0.076627,0.374437
"none",FALSE,TRUE,FALSE,2,3,0.018995,0.012386,0.025351,0.124668
"lemmatization",FALSE,TRUE,FALSE,2,3,0.04763,0.016852,0.081959,0.217641
"stemming",FALSE,TRUE,FALSE,2,3,0.052599,0.028682,0.075526,0.211081
"none",TRUE,FALSE,FALSE,2,3,-0.006847,-0.050344,0.036456,0.15478
"lemmatization",TRUE,FALSE,FALSE,2,3,-0.020761,-0.060169,0.020094,0.233583
"stemming",TRUE,FALSE,FALSE,2,3,0.045194,0.007332,0.084968,0.184033
"none",FALSE,FALSE,FALSE,2,3,0.058033,0.020961,0.094861,0.107725
"lemmatization",FALSE,FALSE,FALSE,2,3,0.047703,0.027339,0.068086,0.145106
"stemming",FALSE,FALSE,FALSE,2,3,0.003974,-0.023533,0.031935,0.19575
"none",TRUE,TRUE,TRUE,3,3,-0.002004,-0.0106,0.004511,0.165663
"lemmatization",TRUE,TRUE,TRUE,3,3,-0.001685,-0.014937,0.009759,0.163977
"stemming",TRUE,TRUE,TRUE,3,3,-0.002154,-0.008612,0.005438,0.161516
"none",FALSE,TRUE,TRUE,3,3,0.014292,-0.016944,0.048958,0.131262
"lemmatization",FALSE,TRUE,TRUE,3,3,0.010312,-0.027514,0.053748,0.165338
"stemming",FALSE,TRUE,TRUE,3,3,-0.012247,-0.050723,0.03393,0.192435
"none",TRUE,FALSE,TRUE,3,3,-0.00521,-0.015841,0.002364,0.173048
"lemmatization",TRUE,FALSE,TRUE,3,3,0.05973,0.016124,0.114057,0.241495
"stemming",TRUE,FALSE,TRUE,3,3,-0.007173,-0.023093,0.005339,0.156982
