"token_normalization","stopword_removal","trimming","alternative_model","k_setting","iteration_setting","Estimate","Q2.5","Q97.5","anchor_variant"
"stemming",FALSE,TRUE,TRUE,3,1,0.024977,-0.01174,0.063469,"highest_overlap"
"stemming",FALSE,TRUE,TRUE,3,1,0.024977,-0.01174,0.063469,"social_contacts"
"none",TRUE,FALSE,TRUE,3,1,-0.0039,-0.015182,0.004996,"max_gendered"
"none",TRUE,FALSE,TRUE,3,1,0.028866,-0.00039,0.05568,"highest_overlap"
"none",TRUE,FALSE,TRUE,3,1,0.028866,-0.00039,0.05568,"social_contacts"
"lemmatization",TRUE,FALSE,TRUE,3,1,-0.000961,-0.006634,0.004149,"max_gendered"
"lemmatization",TRUE,FALSE,TRUE,3,1,0.055885,0.004542,0.105543,"highest_overlap"
"lemmatization",TRUE,FALSE,TRUE,3,1,0.055885,0.004542,0.105543,"social_contacts"
"stemming",TRUE,FALSE,TRUE,3,1,-0.000686,-0.01843,0.020333,"max_gendered"
"stemming",TRUE,FALSE,TRUE,3,1,0.011816,-0.007628,0.034746,"highest_overlap"
"stemming",TRUE,FALSE,TRUE,3,1,0.011816,-0.007628,0.034746,"social_contacts"
"none",FALSE,FALSE,TRUE,3,1,-0.003729,-0.012602,0.004126,"max_gendered"
"none",FALSE,FALSE,TRUE,3,1,0.016822,-0.019956,0.056696,"highest_overlap"
"none",FALSE,FALSE,TRUE,3,1,0.016822,-0.019956,0.056696,"social_contacts"
"lemmatization",FALSE,FALSE,TRUE,3,1,-0.005402,-0.010637,-0.001496,"max_gendered"
"lemmatization",FALSE,FALSE,TRUE,3,1,-0.006962,-0.043834,0.029919,"highest_overlap"
"lemmatization",FALSE,FALSE,TRUE,3,1,-0.006962,-0.043834,0.029919,"social_contacts"
"stemming",FALSE,FALSE,TRUE,3,1,-0.007954,-0.016792,-0.001291,"max_gendered"
"stemming",FALSE,FALSE,TRUE,3,1,0.040022,-0.001701,0.083182,"highest_overlap"
"stemming",FALSE,FALSE,TRUE,3,1,0.040022,-0.001701,0.083182,"social_contacts"
"none",TRUE,TRUE,FALSE,3,1,0.017876,-0.010544,0.045249,"max_gendered"
"none",TRUE,TRUE,FALSE,3,1,0.04259,0.012378,0.071585,"highest_overlap"
"none",TRUE,TRUE,FALSE,3,1,0.04259,0.012378,0.071585,"social_contacts"
